FILE,QUOTE_TRANSCRIPTION,VERIFICATION_STATUS,COMMENTS,FinalGEOID,LAT,LNG,datepalm_quantity,,,,,,,,
bahrain_island.txt,Mani,UNVERIFIED,https://www.geonames.org/290179/mani.html,290179,-10.841342,-77.151426,19000,,,,,,,, 
bahrain_island.txt,Karzakkān,UNVERIFIED,https://www.geonames.org/290201/karzakkan.html,290201,,,16500,,,,,,,, 
bahrain_island.txt,Sahlat-al-Fūqīyah,UNVERIFIED,https://www.geonames.org/385036/as-sahlah-al-fawqiyah.html,385036,,,15000,,,,,,,, 
bahrain_island.txt,Hajar,UNVERIFIED,https://www.geonames.org/290360/al-hajar.html,290360,14.986325,45.793817,12000,,,,,,,, 
bahrain_island.txt,Buri,,https://www.geonames.org/290274/buri.html,290274,26.15139,50.4975,10500,,,,,,,,
bahrain_island.txt,Sadad,UNVERIFIED,https://www.geonames.org/290136/sadad.html,290136,34.31248,36.92562,10500,,,,,,,, 
bahrain_island.txt,Sār,UNVERIFIED,https://www.geonames.org/290118/sar.html,290118,26.19417,50.48194,10000,,,,,,,, 
bahrain_island.txt,Māhūz,UNVERIFIED,https://www.geonames.org/290344/al-mahuz.html,290344,26.21222,50.58889,9000,,,,,,,, 
bahrain_island.txt,Karbābād,UNVERIFIED,https://www.geonames.org/290204/karbabad.html,290204,26.23028,50.52944,8500,,,,,,,, 
bahrain_island.txt,Ruqa'ah,UNVERIFIED,https://www.geonames.org/290308/ar-ruq-ah.html,290308,26.23333,50.5,8000,,,,,,,, 
bahrain_island.txt,Mālikīyah,UNVERIFIED,https://www.geonames.org/290342/al-malikiyah.html,290342,37.17701,42.14006,6000,,,,,,,, 
bahrain_island.txt,Buquwwah,NOT_IDENTIFIABLE,,,,,5500,,,,,,,, 
bahrain_island.txt,Jannūsān,UNVERIFIED,https://www.geonames.org/290226/jannusan.html,290226,26.23056,50.49472,5500,,,,,,,, 
bahrain_island.txt,Salmābād,UNVERIFIED,https://www.geonames.org/290127/salmabad.html,290127,26.18306,50.52472,5500,,,,,,,, 
bahrain_island.txt,Sanad,UNVERIFIED,https://www.geonames.org/290120/sanad.html,290120,45.97596,20.10816,5250,,,,,,,, 
bahrain_island.txt,Rūzak-kān,NOT_IDENTIFIABLE,,,,,5000,,,,,,,, 
bahrain_island.txt,Hujair,UNVERIFIED,https://www.geonames.org/290356/al-hujayr.html,290356,26.18333,50.55,4000,,,,,,,, 
bahrain_island.txt,Kulaib,VERIFIED,,,26.06861,50.50389,4000,,,,,,,, 
bahrain_island.txt,Maqāba,UNVERIFIED,https://www.geonames.org/290178/maqaba.html,290178,26.21083,50.4875,4000,,,,,,,, 
bahrain_island.txt,Jidd'Ali,UNVERIFIED,https://www.geonames.org/290217/jidd-ali.html,290217,26.17917,50.56028,3430,,,,,,,, 
bahrain_island.txt,Dumistān,UNVERIFIED,https://www.geonames.org/290260/dumistan.html,290260,26.12639,50.48111,2500,,,,,,,, 
bahrain_island.txt,Nūr Juruft,UNVERIFIED,https://www.geonames.org/290163/nur-juruft.html,290163,26.23333,50.5,2500,,,,,,,, 
bahrain_island.txt,Bārbār,UNVERIFIED,https://www.geonames.org/290286/barbar.html,290286,6.22944,50.48083,2400,,,,,,,, 
bahrain_island.txt,Jurdāb,UNVERIFIED,https://www.geonames.org/290212/jurdab.html,290212,26.16944,50.57528,2230,,,,,,,, 
bahrain_island.txt,Kawarah,UNVERIFIED,https://www.geonames.org/290198/kawrah.html,290198,26.18333,50.56667,2150,,,,,,,, 
bahrain_island.txt,Fārsiyah,UNVERIFIED,https://www.geonames.org/290259/dawhat-al-farisiyah.html,290259,26.09417,50.62972,1900,,,,,,,, 
bahrain_island.txt,Habshi,UNVERIFIED,https://www.geonames.org/290234/jabalat-habashi.html,290234,26.21722,50.5275,1800,,,,,,,, 
bahrain_island.txt,Barbūrah,UNVERIFIED,https://www.geonames.org/290285/barburah.html,290285,26.13333,50.58333,1760,,,,,,,, 
bahrain_island.txt,Nuwaidrāt,UNVERIFIED,https://www.geonames.org/290319/an-nuwaydirat.html,290319,26.13472,50.5975,1730,,,,,,,, 
bahrain_island.txt,Askar,UNVERIFIED,https://www.geonames.org/290304/-askar.html,290304,31.657498,48.880963,1500,,,,,,,, 
bahrain_island.txt,Dirāz,UNVERIFIED,https://www.geonames.org/290385/ad-diraz.html,290385,26.21806,50.47056,1500,,,,,,,, 
bahrain_island.txt,Muqshā,UNVERIFIED,https://www.geonames.org/290331/al-muqsha.html,290331,26,40,1500,,,,,,,, 
bahrain_island.txt,Jidd-al-Hājj,UNVERIFIED,https://www.geonames.org/290218/jidd-al-hajj.html,290218,6.23333,50.5,1400,,,,,,,, 
bahrain_island.txt,Saibi,UNVERIFIED,https://www.geonames.org/290392/abu-saybi.html,290392,26.2175,50.50694,1400,,,,,,,, 
bahrain_island.txt,Markh,UNVERIFIED,https://www.geonames.org/290335/al-markh.html,290335,26.43629,33.51039,1350,,,,,,,, 
bahrain_island.txt,Jamrah,UNVERIFIED,https://www.geonames.org/290287/bani-jamrah.html,290287,26.20972,50.45972,1300,,,,,,,, 
bahrain_island.txt,Janābīyah,UNVERIFIED,https://www.geonames.org/290352/al-janabiyah.html,290352,26.19,50.46778,1000,,,,,,,, 
bahrain_island.txt,Quraiyah,UNVERIFIED,https://www.geonames.org/290323/al-qurayyah.html,290323,26.19722,50.46278,1000,,,,,,,, 
bahrain_principality.txt,Jufair,UNVERIFIED,https://www.geonames.org/290347,290347,26.21056,50.61167,900,,,,,,,, 
bahrain_island.txt,Sanābis,UNVERIFIED,https://www.geonames.org/290121/sanabis.html,290121,26.22722,50.55083,900,,,,,,,, 
bahrain_island.txt,Baijawīyah,UNVERIFIED,https://www.geonames.org/290370/al-bajawiyah.html,290370,26.21667,50.55,750,,,,,,,, 
bahrain_island.txt,Hūrah,NOT_IDENTIFIABLE,,,,,300,,,,,,,,
